"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"162","104","-","88","11","3","118.18","1","caught","1","v Sri Lanka","Colombo (RPS)","31 Aug 2017"
"163","16","-","20","1","0","80.00","1","caught","2","v Sri Lanka","Colombo (RPS)","3 Sep 2017"
"164","28","81","44","3","0","63.63","2","caught","1","v Australia","Chennai","17 Sep 2017"
"165","7","24","14","1","0","50.00","2","caught","1","v Australia","Kolkata","21 Sep 2017"
"166","71","94","62","6","4","114.51","2","caught","2","v Australia","Indore","24 Sep 2017"
"167","65","93","55","1","5","118.18","2","run out","2","v Australia","Bengaluru","28 Sep 2017"
"168","125","165","109","11","5","114.67","2","caught","2","v Australia","Nagpur","1 Oct 2017"
"169","20","27","18","0","2","111.11","1","bowled","1","v New Zealand","Mumbai","22 Oct 2017"
"170","7","17","19","1","0","36.84","1","caught","2","v New Zealand","Pune","25 Oct 2017"
"171","147","168","138","18","2","106.52","1","caught","1","v New Zealand","Kanpur","29 Oct 2017"
"172","2","19","13","0","0","15.38","1","caught","1","v Sri Lanka","Dharamsala","10 Dec 2017"
"173","208*","212","153","13","12","135.94","1","not out","1","v Sri Lanka","Mohali","13 Dec 2017"
"174","7","14","14","0","1","50.00","1","bowled","2","v Sri Lanka","Visakhapatnam","17 Dec 2017"
"175","20","25","30","2","1","66.66","1","caught","2","v South Africa","Durban","1 Feb 2018"
"176","15","19","17","2","1","88.23","1","caught","2","v South Africa","Centurion","4 Feb 2018"
"177","0","4","6","0","0","0.00","1","caught","1","v South Africa","Cape Town","7 Feb 2018"
"178","5","19","13","1","0","38.46","1","caught","1","v South Africa","Johannesburg","10 Feb 2018"
"179","115","179","126","11","4","91.26","2","caught","1","v South Africa","Port Elizabeth","13 Feb 2018"
"180","15","14","13","3","0","115.38","2","caught","2","v South Africa","Centurion","16 Feb 2018"
"181","137*","-","114","15","4","120.17","1","not out","2","v England","Nottingham","12 Jul 2018"
"182","15","-","26","2","0","57.69","1","bowled","2","v England","Lord's","14 Jul 2018"
"183","2","24","18","0","0","11.11","1","caught","1","v England","Leeds","17 Jul 2018"
"184","23","-","22","4","0","104.54","1","caught","1","v Hong Kong","Dubai (DSC)","18 Sep 2018"
"185","52","-","39","6","3","133.33","1","bowled","2","v Pakistan","Dubai (DSC)","19 Sep 2018"
"186","83*","-","104","5","3","79.80","1","not out","2","v Bangladesh","Dubai (DSC)","21 Sep 2018"
"187","111*","-","119","7","4","93.27","1","not out","2","v Pakistan","Dubai (DSC)","23 Sep 2018"
